"-- Manual","-- Handmatig"
"-- none","-- geen"
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages. This code is limited to the homepage.","Een verbeterde zoekfunctie in de zoekresultaten. Wanneer getoond zal het gemakkelijker zijn  voor gebruikers om specifieke inhoud te bereiken op uw site, rechtstreeks via uw eigen site-zoekpagina's. Deze code is beperkt tot de homepage."
"Add your pinterest and twitter username and activate the Pinterest Rich Pins and Twitter Product Cards on product and/or cateogrie level.","Voeg uw pinterest en twitter gebruikersnaam toe, en activeer de Pinterest Rich Pins en Twitter Product Cards op producten en/of catogorizeer niveau."
"Additional Information Block","Toevoegend informatie blok"
"Address","Adres"
"Advanced: Custom Layout Update Handle","Geavanceerd: Handmatige Layout Update Handle"
"After Content","Na inhoud"
"Alternate Name","Alternatieve naam"
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages.","Een verbeterde zoekbalk in de zoek resultaten. Wanneer afgebeeld in de zoekmachine resultaten kunnen gebruikers direct zoeken binnen uw website zonder de site te openen."
"Attribute","Attribuut"
"Before Content","Voor Inhoud"
"Brand Attribute","Merk attribuut"
"Category Page Configuration","Categorie Pagina Configuratie"
"Category Rich Snippets: General","Categorie Rich Snippets: Algemeen"
"CMS Pages: Open Graph Facebook Tags","CMS Pagina's: Open Graph Facebook Tags"
"CMS Pages & Homepage Configuration","CMS Pagina's & Homepage Configuratie"
"CMS Pages: Twitter Cards","CMS Pagina's: Twitter Cards"
"Color Attribute","Kleur attribuut"
"Contact Information","Contact Informatie"
"Company","Bedrijf"
"Condition Attribute","Conditie attribuut"
"Custom Home Title","Afwijkende Home titel"
"Custom Location","Afwijkende locatie"
"Custom Title","Afwijkende titel"
"Damaged","Beschadigd"
"Default Condition","Standaard conditie"
"Detailed Breadcrumbs","Gedetailleerde Breadcrumbs"
"Display","Laat zien"
"Email","Email"
"Enable","Zet aan"
"Enabled","Aangezet"
"Enter the appropriate Google+ link starting with +.","Voer de Google+ username toe startend met een +."
"Extra Data: Brand","Extra Data: Merk"
"Extra Data: Color","Extra Data: Kleur"
"Extra Data: Description","Extra Data: Omschrijving"
"Extra Data: Model","Extra Data: Model"
"Extra Data: Product Description","Extra Data: Product Omschrijving"
"Extra Data: Product Identifier","Extra Data: Product Identifier"
"Facebook Company Link","Facebook Link"
"Facebook Company username","Facebook Gebruikersnaam"
"Facebook requires the logo to be at least 200px by 200px","Facebook vereist een logo van minstens 200px bij 200px"
"Fill in your official Company Name","Voer de officiële bedrijfs naam in"
"Footer","Voettekst"
"General configuration","Algemene configuratie"
"Googleplus Username","Googleplus Gebruikersnaam"
"General Settings","Algemene Instellingen"
"Googleplus landingpage","Googleplus Landingspage"
"Hidden - Json","Verbogen - Json"
"Hidden: Json","Verbogen in Header: Json"
"Hide if no price","Laat niet zien als er geen prijs is"
"Image Url","Afbeelding Url"
"In stock","Op voorraad"
"Instagram Username","Instagram Gebruikersnaam"
"Instagram landingpage","Instagram Landingspage"
"Length of Description","Lengte van omschrijving"
"Licence","Vergunning"
"License Key","Vergunning sleutel"
"Linkedin landingpage","Linkedin Landingspage"
"Linkedin username","Linkedin Gebruikersnaam"
"Locality","Locatie"
"Location in Footer","Locatie in voettekst"
"Location on Productpage","Locatie op Productpagina"
"Logo Url","Logo Url"
"Magento Reviews","Magento Beoordelingen"
"Magmodules","Magmodules"
"Magmodules: Shopreview","Magmodules: Winkelbeoordelingen"
"Markup","Markup"
"Model Attribute","Model Attribuut"
"New","Nieuw"
"No","Nee"
"Our %s has been rated %s based on %s individual customer review(s)","Onze %s zijn beoordeeld %s gebaseerd op %s individuele klant beoordelingen(s)"
"Out of","Vanuit"
"Out of Stock","Niet op voorraad"
"Please select the extra currencies for display","Indien beschikbaar, gebruik meerdere valuta om mee te nemen in de snippets"
"Pinterest Rich Pins","Pinterest Rich Pins"
"Pinterest Sitename","Pinterest Site naam"
"Position","Positie"
"Postal Code","Postcode"
"Price Type","Prijs Type"
"Price:","Prijs:"
"Prices","Prijzen"
"Prices from %s to %s","Prijzen van %s tot %s"
"Product Description Block","Product Omschrijving blok"
"Product Grid","Product Grid"
"Product Page Configuration","Product Pagina Configuratie"
"Product Review Block (Modern Theme)","Product Beoordelings Blok (Modern Thema)"
"Product Rich Snippets: General","Product Rich Snippets: Algemeen"
"RDF - Data-vocabulary","RDF - Data-vocabulaire"
"Rating: %s based on %s review(s)","Beoordeling: %s gebaseerd op %s beoordeling(en)"
"Refurbished","Hersteld"
"Reviews","Beoordelingen"
"Reviews / Votes","Beoordelingen / Stemmen"
"Rich Snippets Suite","Rich Snippets Suite"
"Schema.org","Schema.org"
"Schema.org Rich Snippets","Schema.org Rich Snippets"
"Schema: Breadcrumbs","Schema: Breadcrumbs"
"Schema: Offer","Schema: Aanbod"
"Schema: Organization","Schema: Organisatie"
"Schema: Rating","Schema: Beoordeling"
"Schema: Site Name","Schema: Site Naam"
"Server Name","Server Naam"
"Shop Rating Data","Shop Beoordeling Data"
"Show Condition","Conditie weergeven"
"Show Stock","Voorraad weergeven"
"Sitelinks Search Box","Sitelinks Zoekbalk"
"Hide snippets if there is no price","Verberg snippets indien er geen prijs is"
"Sitename","Sitenaam"
"Social Integration","Sociale Integratie"
"Social Media","Social Media"
"Source","Bron"
"Starting at:","Vanaf:"
"Tax Percentage","Belasting Percentage"
"Telephone","Telefoon"
"The image must be a minimum size of 120px by 120px and must be less than 1MB in file size.","De afbeelding moet een minimale afmeting hebben van 120px bij 120px. De bestandsgrootte mag niet meer zijn dan 1 mb."
"The Breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, <br/>like for example: Yourstore > Books > Authors > Stephen King. When you activate the Breadcrumb, <br/>Google can use it to understand and present the information on your pages in our search results.<br/><br/>","De Breadcrumbs zijn een set van links (broodkruimels) dat een gebruiker kan helpen met begrijpen en navigeren door de site's hierarchie,<br> zoals: <strong>Jouwwinkel</strong> > <strong>Boeken </strong> > <strong>Autheurs</strong> > <strong>Stephen King.</strong><br>Wanneer u het broodkruim activeert, kan Google dit gebruiken om de actuele informatie op de pagina's te gebruiken in zoekresultaten.<br><br>"
"This Schema allows you to mark up the contact information on your site for your business or organization. This rich text formatting is referenced by Google Local as a source for its data.","Deze snippet staat u toe om contact informatie te markeren op de site voor uw bedrijf of organisatie. Deze opsomming wordt gebruikt door Google als een bron voor de bedrijfsdata."
"Twitter Cards","Twitter Product Cards"
"Twitter Company Link","Twitter Link"
"Twitter Username","Twitter Gebruikersnaam"
"Type of display","Type weergave"
"Use multiple currencies","Gebruik meerdere valuta"
"Unique Type","Uniek Type"
"Use structured data markup on your public website to indicate the preferred name you want Google to display in Search results. <br/>You can also provide more than one possible name for your site, and let Google Search algorithms choose between them. <br/>Also part of this schema is the Sitelinks Search Box that displays a searchbox directly in the SERP.<br/><br/>","Gebruik gestructureerde data markeringen op de publieke website om de geprefereerde naam aan te tonen welke u wilt dat Google weergeeft bij zoekresultaten.<br>U kunt ook meer dan 1 naam voor de site opgeven en Googles algoritmes laten kiezen tussen de opgegeven keuzes. <br/>Met deze markup wordt ook de Sitelink Search Box geactiveerd zodat deze direct getoond wordt in de zoekmachine resultaten.<br/><br/>"
"Used","Gebruikt"
